Domain,Name,Info,Standard,Success Criteria,Success Criteria,Success Criteria,Success Criteria
Communicating Clearly,Strong Voice,https://docs.google.com/document/d/1Zsc5FaxWjuaej4MR6F1kXhP0k_Vk1P4r1SUtbfCOnRk/edit#heading=h.825xn9olwtbr,Affirm your authority through intentional verbal and nonverbal habits using ‘Strong Voice’,"Speaks with a loud, clear, and understandable voice.","Uses the fewest words possible to communicate, keeping diction clear and concise (‘Economy of Language’)",‘Squares up’ and stands still when saying something important,"Utilizes non-verbal cues, such as eye contact and body position, to support/reinforce verbal communication"
Gathering and Acting on Student Mastery Data,Reject Self-Report,https://docs.google.com/document/d/1Zsc5FaxWjuaej4MR6F1kXhP0k_Vk1P4r1SUtbfCOnRk/edit#heading=h.twjrsrwwcnnk,Replace questions that ask students to self-report with more objective forms of impromptu assessment through ‘Reject Self-Report’,"Rather than relying on self-report, the instructor uses another check for understanding technique to measure mastery (e.g. targeted questioning, cold call, turn and talk).",Uses self-report only to reinforce student self-monitoring (student self-reflection on learning progress).,,
Gathering and Acting on Student Mastery Data,Targeted Questioning,https://docs.google.com/document/d/1Zsc5FaxWjuaej4MR6F1kXhP0k_Vk1P4r1SUtbfCOnRk/edit#heading=h.twjrsrwwcnnk,"Ask a quick series of carefully chosen, open-ended questions directed at a strategic sample of the class with ‘Targeted Questioning’.",Asks sets of questions that check for student understanding of concepts introduced in the lesson,"Asks a question first, provides Wait Time, and then chooses a technique (Cold Call, Everybody Writes, Turn and Talk, etc.) to gather data from a strategic sample of students in the class",The process of ‘targeted questioning’ feels quick and efficient,
Gathering and Acting on Student Mastery Data,Culture of Error,https://docs.google.com/document/d/1Zsc5FaxWjuaej4MR6F1kXhP0k_Vk1P4r1SUtbfCOnRk/edit#heading=h.308onzv9c7xx,"Create a ‘Culture of Error’ where your students feel safe making and discussing mistakes, so you can spend less time hunting for errors and more time fixing them.","Communicates through words and actions (e.g. tone and facial expressions) that mistakes are a welcomed, necessary part of the learning process.","Provides opportunities for student to submit work, receive feedback, make changes and submit again.",,
Gathering and Acting on Student Mastery Data,Excavate Error,https://docs.google.com/document/d/1Zsc5FaxWjuaej4MR6F1kXhP0k_Vk1P4r1SUtbfCOnRk/edit#heading=h.9ag4ipv049vu,‘Excavate Error’ when appropriate to help students learn from mistakes.,"If only a few students make a mistake, use ‘assess and move’, returning to reteach the concept one-on-one or in a small group.","If more than a few students make an error, or the error is crucial, quickly analyze the error with your students through ‘light excavation’.",Use ‘deep excavation’ to thoroughly analyze deep or widespread errors with your class when the discussion will be especially fruitful.,
Setting High Academic Expectations,Right is Right,https://docs.google.com/document/d/1Zsc5FaxWjuaej4MR6F1kXhP0k_Vk1P4r1SUtbfCOnRk/edit#heading=h.e3yn3e8frbqh,"When you respond to answers in class, hold out for answers that are “all-the-way right” or all the way to your standards of rigor through ‘Right is Right’.",Does not ‘round up’ student answers that are only partially correct.,Insists that students answer the question that was asked.,Insists that students use specific vocabulary and technical terminology when answering a question.,
Setting High Academic Expectations,Stretch It,https://docs.google.com/document/d/1Zsc5FaxWjuaej4MR6F1kXhP0k_Vk1P4r1SUtbfCOnRk/edit#heading=h.5h1yfz7y8jr8,Reward “right” answers with harder questions through ‘Stretch It’.,"After a student answers a question correctly, pushes for more rigor and engagement with a follow-up question",,,
Setting High Academic Expectations,Begin with the End,https://docs.google.com/document/d/1Zsc5FaxWjuaej4MR6F1kXhP0k_Vk1P4r1SUtbfCOnRk/edit#heading=h.1aorgdmhnejm,"After looking at the standard-assessment(s), define the objective(s), decide how you'll assess them, and then choose appropriate lesson activities through ‘Begin with the End’.","First, unpack the standard into clear, measurable, student-centered objectives.","Second, design objective-assessments (checks for understanding that are aligned with the objectives).","Finally, plan the learning activities (lessons, learning experiences).",
Setting High Academic Expectations,Post It,https://docs.google.com/document/d/1Zsc5FaxWjuaej4MR6F1kXhP0k_Vk1P4r1SUtbfCOnRk/edit#heading=h.yx2bns89p8ts,Identify and reinforce the lesson objectives with ‘Post It’,"Post the objectives in a consistent, visible location",Discuss the objectives at beginning of the lesson,Return to and reinforce the objectives throughout the lesson to encourage student self-monitoring,
Setting High Academic Expectations,Double Plan,https://docs.google.com/document/d/1Zsc5FaxWjuaej4MR6F1kXhP0k_Vk1P4r1SUtbfCOnRk/edit#heading=h.4qvx73nwy0wd,Plan what instructors and students will be doing at each point of a lesson with  ‘Double Plan’,Lesson plan/notes contains instructions for both teacher and students,"During the lesson, instructor gives clear instructions for what students should do at all times to maximize productive engagement",,
